Date,Open-Stock-2,Close-Stock-2,High-Stock-2,Low-Stock-2,VWAP-Stock-2,Turnover-Stock-2,Volume-Stock-2,OC2,HL2
2010-06-01,285.4,283.0,285.95,281.5,283.72,90557243170000,3191773,2.3999999999999773,4.449999999999989
2010-06-02,284.0,281.3,284.8,279.25,281.05,76017076445000,2704797,2.6999999999999886,5.550000000000011
2010-06-03,283.0,285.5,286.85,282.5,285.34,71043460510000,2489752,-2.5,4.350000000000023
2010-06-04,288.85,290.85,291.8,277.0,289.81,92414802585000,3188813,-2.0,14.800000000000011
2010-06-07,285.0,287.7,289.1,285.0,287.01,63109395135000,2198836,-2.6999999999999886,4.100000000000023
2010-06-08,290.7,289.7,292.6,286.55,290.0,88718094960000,3059245,1.0,6.050000000000011
2010-06-09,287.4,277.6,287.4,276.1,279.1,110635812935000,3964029,9.799999999999955,11.299999999999955
2010-06-10,279.0,280.05,281.75,275.2,279.57,98482042840000,3522663,-1.0500000000000114,6.550000000000011
2010-06-11,289.0,281.55,289.0,280.65,282.08,79574569940000,2820966,7.449999999999989,8.350000000000023
2010-06-14,282.7,286.1,286.8,281.6,283.81,79648653375000,2806420,-3.400000000000034,5.199999999999989
2010-06-15,286.0,291.7,292.7,285.1,290.25,90733530925000,3126009,-5.699999999999989,7.599999999999966
2010-06-16,294.7,290.9,294.7,288.15,291.24,114776960990000,3940914,3.8000000000000114,6.550000000000011
2010-06-17,291.0,293.9,296.9,289.15,292.37,129884881080000,4442412,-2.8999999999999773,7.75
2010-06-18,295.0,294.9,299.3,292.7,295.41,153516851745000,5196746,0.10000000000002274,6.600000000000023
2010-06-21,296.7,299.1,300.0,292.0,298.22,138115818775000,4631354,-2.400000000000034,8.0
2010-06-22,298.0,301.8,303.75,297.25,301.73,94372394095000,3127754,-3.8000000000000114,6.5
2010-06-23,300.0,302.85,304.2,299.25,301.74,93360822135000,3094124,-2.8500000000000227,4.949999999999989
2010-06-24,303.0,305.75,307.9,300.1,305.17,210712965775000,6904721,-2.75,7.7999999999999545
2010-06-25,305.65,301.45,307.9,300.2,304.41,80152306675000,2633022,4.199999999999989,7.699999999999989
2010-06-28,301.0,297.65,303.5,297.0,299.08,64327776965000,2150891,3.3500000000000227,6.5
