Date,Open-Stock-4,Close-Stock-4,High-Stock-4,Low-Stock-4,VWAP-Stock-4,Turnover-Stock-4,Volume-Stock-4,OC4,HL4
2010-06-01,851.65,837.95,864.8,833.1,844.44,327474904340000,3878011,13.699999999999932,31.699999999999932
2010-06-02,844.7,842.3,849.9,823.0,838.31,278403743240000,3320996,2.400000000000091,26.899999999999977
2010-06-03,851.4,854.1,859.05,848.2,853.51,212910342645000,2494522,-2.7000000000000455,10.849999999999909
2010-06-04,854.1,865.85,868.6,854.1,862.85,255740999120000,2963920,-11.75,14.5
2010-06-07,712.0,841.95,850.0,712.0,839.89,291567400640000,3471483,-129.95000000000005,138.0
2010-06-08,839.0,817.5,844.7,813.1,830.83,386754585140000,4655052,21.5,31.600000000000023
2010-06-09,817.0,824.55,839.9,817.0,827.8,299540454045000,3618518,-7.5499999999999545,22.899999999999977
2010-06-10,822.8,829.05,834.2,814.0,823.48,296256701235000,3597611,-6.25,20.200000000000045
2010-06-11,845.0,846.0,850.0,831.8,840.28,318925246455000,3795477,-1.0,18.200000000000045
2010-06-14,855.0,853.65,859.0,843.4,852.84,235267478580000,2758649,1.3500000000000227,15.600000000000023
2010-06-15,853.65,860.1,864.85,839.3,849.35,223840722895000,2635443,-6.4500000000000455,25.550000000000068
2010-06-16,869.0,876.75,879.9,860.05,868.81,326820642040000,3761689,-7.75,19.850000000000023
2010-06-17,878.0,883.85,891.9,846.0,874.03,1020370723150000,11674290,-5.850000000000023,45.89999999999998
2010-06-18,876.1,869.3,885.0,864.05,871.75,277659615915000,3185066,6.800000000000068,20.950000000000045
2010-06-21,878.9,899.8,910.0,875.6,899.26,467418444530000,5197811,-20.899999999999977,34.39999999999998
2010-06-22,897.0,891.6,905.8,888.4,896.11,295360649120000,3296032,5.399999999999977,17.399999999999977
2010-06-23,886.1,900.4,904.7,881.55,896.96,288732538355000,3219018,-14.299999999999955,23.15000000000009
2010-06-24,898.2,885.7,902.0,878.15,890.61,310617340115000,3487698,12.5,23.850000000000023
2010-06-25,880.0,856.55,881.95,851.55,868.43,318798414465000,3670962,23.450000000000045,30.40000000000009
2010-06-28,852.0,870.15,871.95,852.0,863.28,218987062420000,2536694,-18.149999999999977,19.950000000000045
2010-06-29,870.15,848.3,870.15,841.65,852.58,281622348430000,3303161,21.850000000000023,28.5
2010-06-30,836.1,861.7,864.35,834.25,852.96,342050745485000,4010160,-25.600000000000023,30.100000000000023
2010-07-01,854.45,841.45,857.0,836.55,842.08,281460912720000,3342467,13.0,20.450000000000045
2010-07-02,842.5,840.05,847.75,833.2,840.02,274002800325000,3261874,2.4500000000000455,14.549999999999955
2010-07-05,838.0,840.6,845.7,834.0,841.55,122836036080000,1459645,-2.6000000000000227,11.700000000000045
2010-07-06,839.5,858.8,861.7,838.45,852.13,197618939565000,2319110,-19.299999999999955,23.25
2010-07-07,857.0,846.2,858.1,844.25,847.78,176703718085000,2084301,10.799999999999955,13.850000000000023
2010-07-08,858.0,862.3,865.8,855.05,862.12,144215272595000,1672806,-4.2999999999999545,10.75
2010-07-09,866.5,875.9,879.0,866.0,872.4,280718914765000,3217777,-9.399999999999977,13.0
2010-07-12,884.9,893.45,895.0,876.05,887.8,358703821795000,4040383,-8.550000000000068,18.950000000000045
2010-07-13,860.25,899.45,901.0,860.25,894.1,225880737775000,2526351,-39.200000000000045,40.75
2010-07-14,903.0,891.25,914.45,886.15,899.5,233668097480000,2597757,11.75,28.300000000000068
2010-07-15,889.05,881.85,900.85,878.3,888.13,249794419970000,2812591,7.199999999999932,22.550000000000068
2010-07-16,886.0,902.4,905.0,886.0,898.29,269809539410000,3003602,-16.399999999999977,19.0
2010-07-19,895.1,900.05,904.35,887.0,898.11,280705360700000,3125514,-4.949999999999932,17.350000000000023
2010-07-20,900.05,886.85,906.1,883.0,896.92,130578100515000,1455851,13.199999999999932,23.100000000000023
2010-07-21,894.0,902.6,904.9,890.65,896.94,263105673315000,2933359,-8.600000000000023,14.25
2010-07-22,899.0,908.7,910.0,886.2,898.57,253423705910000,2820295,-9.700000000000045,23.799999999999955
2010-07-23,915.0,912.85,920.8,905.4,913.1,436014846115000,4775083,2.1499999999999773,15.399999999999977
2010-07-26,918.8,916.7,926.4,911.2,917.9,188555113060000,2054200,2.099999999999909,15.199999999999932
2010-07-27,915.3,924.2,927.5,898.25,915.93,380323623930000,4152329,-8.900000000000091,29.25
2010-07-28,925.0,908.85,925.5,902.5,911.34,188128757505000,2064320,16.149999999999977,23.0
2010-07-29,902.0,928.7,932.0,900.3,919.69,465705193600000,5063707,-26.700000000000045,31.700000000000045
2010-07-30,927.0,904.9,931.5,900.0,913.74,218026963100000,2386090,22.100000000000023,31.5
2010-08-02,912.0,939.55,941.9,911.0,933.09,596817082040000,6396138,-27.549999999999955,30.899999999999977
2010-08-03,944.4,962.0,966.0,943.0,959.81,628765594730000,6550962,-17.600000000000023,23.0
2010-08-04,963.05,969.25,973.0,957.05,965.17,431342526395000,4469083,-6.2000000000000455,15.950000000000045
2010-08-05,973.0,955.4,973.0,952.65,958.93,293492813965000,3060642,17.600000000000023,20.350000000000023
2010-08-06,955.0,949.8,963.0,942.55,956.76,336604845135000,3518166,5.2000000000000455,20.450000000000045
2010-08-09,949.0,980.1,982.0,949.0,972.37,460303814675000,4733829,-31.100000000000023,33.0
2010-08-10,977.15,988.9,995.0,966.65,984.02,574962993685000,5842996,-11.75,28.350000000000023
2010-08-11,980.1,971.85,999.0,962.7,985.26,432193241070000,4386569,8.25,36.299999999999955
2010-08-12,964.0,963.3,988.0,957.0,971.35,493755240850000,5083185,0.7000000000000455,31.0
2010-08-13,969.9,976.4,984.8,963.3,978.06,334455493130000,3419585,-6.5,21.5
2010-08-16,977.0,957.1,981.0,953.1,967.06,304311354100000,3146781,19.899999999999977,27.899999999999977
2010-08-17,957.5,958.9,969.8,952.5,960.87,304111034485000,3164971,-1.3999999999999773,17.299999999999955
2010-08-18,962.0,967.9,977.0,951.1,961.51,315095841995000,3277100,-5.899999999999977,25.899999999999977
2010-08-19,972.05,1013.0,1015.9,972.05,1000.16,569591638150000,5695033,-40.950000000000045,43.85000000000002
2010-08-20,1005.55,994.0,1009.95,991.6,999.56,251343704085000,2514532,11.549999999999955,18.350000000000023
2010-08-23,993.5,1011.5,1016.7,985.0,1000.22,390605375570000,3905192,-18.0,31.700000000000045
2010-08-24,1006.0,1001.7,1024.0,998.0,1007.24,374420391450000,3717305,4.2999999999999545,26.0
2010-08-25,993.25,984.3,1003.85,981.65,989.74,379882289095000,3838212,8.950000000000045,22.200000000000045
2010-08-26,985.0,983.55,995.0,976.1,984.23,426361682510000,4331942,1.4500000000000455,18.899999999999977
2010-08-27,990.0,957.45,990.0,953.25,973.72,269606234495000,2768834,32.549999999999955,36.75
2010-08-30,966.9,967.9,980.95,958.15,969.45,173811469570000,1792891,-1.0,22.800000000000068
2010-08-31,962.0,977.7,981.5,960.0,970.25,293744621045000,3027524,-15.700000000000045,21.5
2010-09-01,980.35,995.0,1002.7,980.35,994.16,416994172460000,4194424,-14.649999999999977,22.350000000000023
2010-09-02,1003.2,1003.9,1008.3,995.5,1002.69,248420893265000,2477553,-0.6999999999999318,12.799999999999955
2010-09-03,1004.0,1001.0,1009.95,994.2,1001.33,191271306285000,1910171,3.0,15.75
2010-09-06,1001.0,1039.45,1048.0,1001.0,1029.41,490598141495000,4765817,-38.450000000000045,47.0
2010-09-07,1040.0,1038.6,1049.15,1033.15,1040.47,385816648975000,3708098,1.400000000000091,16.0
2010-09-08,1030.05,1027.6,1041.25,1023.8,1030.42,270777405255000,2627842,2.4500000000000455,17.450000000000045
